company_name,company_city,raised_amount_usd
Aardvark,San Francisco,750000.0
Aardvark,San Francisco,5250000.0
Academia.edu,San Francisco,1600000.0
Academia.edu,San Francisco,4500000.0
Academia.edu,San Francisco,1.11E7
Acendi Interactive,San Francisco,2090000.0
Achievers,San Francisco,4700000.0
Achievers,San Francisco,5922326.0
Achievers,San Francisco,1.4E7
Achievers,San Francisco,2.45E7
ACT Biotech,San Francisco,6567000.0
Addvocate,San Francisco,2390000.0
Adeze,San Francisco,2500000.0
Adeze,San Francisco,3000000.0
AdGrok,San Francisco,470000.0
Ad Infuse,San Francisco,600000.0
Ad Infuse,San Francisco,5000000.0
Ad Infuse,San Francisco,1.2E7
Adioso,San Francisco,15000.0
Adioso,San Francisco,70000.0
Adku,San Francisco,1500000.0
AdRocket,San Francisco,1000000.0
AdRoll,San Francisco,4000000.0
AdRoll,San Francisco,1.5E7
AdStage,San Francisco,100000.0
AdStage,San Francisco,1400000.0
Adura Technologies,San Francisco,5000000.0
Adura Technologies,San Francisco,8500000.0
Adura Technologies,San Francisco,1.2E7
AdverCar,San Francisco,2000000.0
Advice Wallet,San Francisco,25000.0
Advice Wallet,San Francisco,70000.0
Advice Wallet,San Francisco,300000.0
Adynxx,San Francisco,2000000.0
AgileMD,San Francisco,2000000.0
AimWith,San Francisco,5000.0
Airbnb,San Francisco,20000.0
Airbnb,San Francisco,600000.0
Airbnb,San Francisco,6621000.0
Airbnb,San Francisco,7200000.0
Airbnb,San Francisco,1.12E8
Airbnb,San Francisco,2.0E8
AirPR,San Francisco,1000000.0
Airstone Labs,San Francisco,2511000.0
Aktana,San Francisco,1010000.0
Aktana,San Francisco,1050000.0
Aktana,San Francisco,2060000.0
Aktana,San Francisco,5000000.0
Aligo,San Francisco,7920000.0
AliveCor,San Francisco,3000000.0
AliveCor,San Francisco,1.05E7
AllBusiness.com,San Francisco,1.0E7
AllBusiness.com,San Francisco,1.24E7
AllTrails,San Francisco,250000.0
AllTrails,San Francisco,400000.0
AllTrails,San Francisco,990000.0
Allvoices,San Francisco,51068.0
Allvoices,San Francisco,4225500.0
Alphabet Energy,San Francisco,1000000.0
Alphabet Energy,San Francisco,2000000.0
Alphabet Energy,San Francisco,1.2E7
Alphabet Energy,San Francisco,1.6E7
Alt12 Apps,San Francisco,1260000.0
Alter Eco,San Francisco,3050000.0
Altius Education,San Francisco,8000000.0
Altius Education,San Francisco,1.86E7
Anaplan,San Francisco,1.14E7
Anaplan,San Francisco,3.3E7
Anapsis,San Francisco,100000.0
AngelList,San Francisco,2.4E7
Animated Speech,San Francisco,250000.0
Anki,San Francisco,5.0E7
AnyPerk,San Francisco,1400000.0
Apartment List,San Francisco,1.5E7
Apcera,San Francisco,2200000.0
Apcera,San Francisco,5000000.0
Apiary,San Francisco,120000.0
Apiary,San Francisco,1630000.0
Appbistro,San Francisco,600000.0
AppDirect,San Francisco,3250000.0
AppDirect,San Francisco,8500000.0
AppDirect,San Francisco,9000000.0
AppDynamics,San Francisco,5500000.0
AppDynamics,San Francisco,1.1E7
AppDynamics,San Francisco,2.0E7
AppDynamics,San Francisco,5.0E7
Appiphany,San Francisco,200000.0
Appirio,San Francisco,1100000.0
Appirio,San Francisco,5600000.0
Appirio,San Francisco,1.0E7
Appirio,San Francisco,6.0E7
AppJet,San Francisco,700000.0
Applied Identity,San Francisco,1.0E7
Applied Identity,San Francisco,1.1E7
Applied Identity,San Francisco,1.2E7
AppMesh,San Francisco,3000000.0
App.net,San Francisco,2500000.0
Apportable,San Francisco,2400000.0
AppRedeem,San Francisco,700000.0
Appstores.com,San Francisco,565000.0
