name,funding_total_usd
about.me,5675000.0
Academia.edu,1.78E7
Achievers,4.9122326E7
ACT Biotech,2.698E7
adBrite,4.04E7
Addoway,110000.0
Addvocate,2390000.0
Addy,300000.0
Adeze,5500000.0
Adinch Inc,1000000.0
Ad Infuse,1.76E7
Aditive,3301958.0
Adku,1500000.0
adRise,2000000.0
AdRocket,1000000.0
Adteractive,5100000.0
AdTonik,500000.0
AdverCar,2000000.0
Advice Wallet,395000.0
Adynxx,7540560.0
AFAR,1.6E7
AgileMD,2000000.0
AimWith,5000.0
Airbnb,3.26441E8
AirPR,1000000.0
Airstone Labs,2511000.0
Airtime Media,7958625.0
Aktana,1.1637424E7
Aligo,7920000.0
AllBusiness.com,2.24E7
AllTrails,2879987.0
Alphabet Energy,3.1E7
AlphaClone,1400000.0
Alt12 Apps,1260000.0
Alter Eco,3050000.0
American Giant,1399996.0
Anapsis,100000.0
AngelList,2.4E7
Anki,5.0E7
AnyPerk,1400000.0
Apartment List,1.865E7
Apiary,1750000.0
Apozy,175000.0
"AppCentral, Inc.",4000000.0
AppDirect,2.349982E7
AppDynamics,8.65E7
Appirio,8.0699959E7
Applied Identity,3.3E7
AppMesh,3000000.0
App.net,3000000.0
Apportable,2400000.0
AppRedeem,700000.0
Appthority,6250000.0
Apture,4600000.0
Aravo Solutions,3.98685E7
Arch Rock Corporation,1.5E7
Ardica Technologies,1875000.0
Aria Retirement Solutions,4650000.0
Aria Systems,8.12E7
Ark,5250000.0
Artify It,800000.0
ARTtwo50,145000.0
Aruspex,3770000.0
Asana,3.82E7
Ascendify,1000000.0
Asseta,535000.0
Astrid,400000.0
Atom Entertainment,2.29E7
Atooma,397200.0
Attachments.me,2500000.0
Attendify,200000.0
Attune Foods,5000000.0
Auctomatic,400000.0
Audiodraft,400000.0
Augmedix,100000.0
August,1.0E7
Automattic,3.06E7
Avocado�,2150000.0
AwayFind,800000.0
awe.sm,5250000.0
Ayla,170000.0
